Expense_ID,Date,Department,Expense_Type,Vendor,Budget,Actual_Expense,Payment_Mode
EXP117278,2/14/2024,Operation,Office Supplies,ABC Pvt Ltd,122935,135905,Cash
EXP124368,6/6/2024,Operation,Training,Star Traders,58615,84740,Cash
EXP115301,10/4/2025,IT,Maintenance,ABC Pvt Ltd,163716,186021,UPI
EXP111522,2/19/2025,IT,Internet,Star Traders,130806,184337,Credit Card
EXP120086,3/15/2025,HR,Travel,Global Systems,164230,126813,UPI
EXP101603,6/15/2024,IT,Travel,Global Systems,148789,191477,UPI
EXP113202,1/22/2024,HR,Office Supplies,Bright Media,172578,192266,Credit Card
EXP121835,2/13/2024,Sales,Internet,CloudNet,243478,191359,UPI
EXP117213,2/27/2024,Operation,Internet,Prime Vendors,183984,171953,Credit Card
EXP108158,9/2/2024,Operation,Internet,Star Traders,172536,182472,Bank Transfer
EXP103050,3/29/2025,IT,Training,Urban Services,136586,74400,Credit Card
EXP109509,1/19/2024,Operation,Utilities,Data Corp,270990,290568,UPI
EXP108214,12/8/2024,Marketing,Training,Urban Services,181468,223789,UPI
EXP106379,3/30/2025,Marketing,Internet,Quick Supplies,88045,98530,UPI
EXP100199,4/21/2025,IT,Consulting,Star Traders,290273,185711,Cash
EXP120746,5/15/2025,Sales,Salary,ABC Pvt Ltd,160053,118818,Bank Transfer
EXP115701,2/8/2025,Operation,Software,Bright Media,121643,169847,Bank Transfer
EXP101108,3/20/2025,Operation,Office Supplies,ABC Pvt Ltd,22590,32396,UPI
EXP112918,4/11/2025,Finance,Travel,Quick Supplies,94555,57470,Credit Card
EXP108157,7/26/2024,Marketing,Training,Global Systems,161923,205642,Credit Card
EXP114417,3/8/2025,Operation,Office Supplies,Urban Services,135308,198673,Bank Transfer
EXP109392,11/18/2024,Operation,Salary,Urban Services,39656,58413,Bank Transfer
EXP120298,8/21/2024,Finance,Salary,Urban Services,270020,341655,Credit Card
EXP110294,2/19/2024,Sales,Internet,Prime Vendors,273905,403480,Cash
EXP111791,6/2/2024,Administration,Utilities,Global Systems,211677,142842,Cash
EXP124401,7/20/2024,Operation,Travel,Urban Services,142992,174236,Bank Transfer
EXP119083,2/10/2024,Finance,Maintenance,Global Systems,98008,98078,Credit Card
EXP116487,6/9/2024,Finance,Travel,Star Traders,79748,92734,Cash
EXP124729,8/7/2024,Finance,Consulting,Urban Services,169922,116438,Cash
EXP115852,9/25/2024,Finance,Internet,Data Corp,189184,266890,UPI
EXP110347,9/10/2024,IT,Office Supplies,Bright Media,145253,161865,Cash
EXP114034,9/27/2024,Marketing,Consulting,Global Systems,205057,146885,UPI
EXP120560,7/5/2024,Marketing,Consulting,Prime Vendors,284752,228271,Credit Card
EXP102752,3/18/2025,Marketing,Utilities,Global Systems,41854,51037,Cash
EXP110427,10/15/2024,Finance,Travel,Prime Vendors,123567,69458,Cash
EXP113094,12/25/2024,IT,Software,Prime Vendors,237433,315873,Bank Transfer
EXP103014,4/29/2025,Administration,Training,Tech Solutions,48190,47557,Bank Transfer
EXP107223,8/22/2024,IT,Consulting,ABC Pvt Ltd,139595,115859,Bank Transfer
EXP103100,7/24/2024,Finance,Training,Global Systems,100493,73271,UPI
EXP115340,3/2/2025,Administration,Utilities,Quick Supplies,208158,174385,Bank Transfer
EXP101045,11/24/2024,Administration,Travel,Bright Media,270303,219807,Cash
EXP105687,3/22/2025,Administration,Salary,Tech Solutions,298136,441202,Cash
